Order,Fuel Pathway Code,Group,Feedstock Sources,Process Type,Fuel type,Energy  used  in  the process
64,"FT-
Diesel_b_G_FT_1stgen_gm_",Diesel,Biogenic 1st Gen. feedstock,Gasification and Fischer-Tropsch Synthesis,Renewable Diesel (Bio FT-Diesel),Grid mix electricity
76,HVO_b_HD_1stgen_gm_,Diesel,Biogenic 1st Gen. feedstock,Hydrogenation,Renewable Diesel (HVO),Grid mix electricity
61,FAME_b_TRE_1stgen_gm_,Diesel,Biogenic 1st Gen. feedstock,Transesterification,Diesel (FAME),Grid mix electricity
79,DME_b_G_DMES_1stgen_g m_,DME,Biogenic 1st Gen. feedstock,Gasification and DME Synthesis,Dimethyl Ether (DME),Grid mix electricity
101,EtOH_b_FR_1stgen_gm_,Ethanol,Biogenic 1st Gen. feedstock,Fermentation,Ethanol,Grid mix electricity
58,SVO_b_EP _1stgen_gm,"Vegetable oil-based
fuel",Biogenic 1st Gen. feedstock,Extraction and purification,Straight Vegetable Oil,Grid mix electricity
90,MeOH_b_G_MS_gm,Methanol,Biogenic 2nd and 3rd Gen. feedstock,"Gasification of Biomass and
Methanol Synthesis",Methanol,Grid mix electricity
119,NH3_b_G_2ndgen_gm_,Ammonia,Biogenic 2nd Gen. feedstock,Gasification,Ammonia,Grid mix electricity
77,HVO_b_HD_2ndgen_gm_,Diesel,Biogenic 2nd Gen. feedstock,Hydrogenation,Renewable Diesel (HVO),Grid mix electricity
85,HTL_b_HTL_2ndgen_gm_,Diesel,Biogenic 2nd Gen. feedstock,Hydrothermal liquefaction and upgrading,Hydrothermal Liquefaction (HTL) Oil,Grid mix electricity
84,UPO_b_UPO_2ndgen_gm_,Diesel,Biogenic 2nd Gen. feedstock,"Pyrolysis, Fast Pyrolysis and/or Catalytic Fast
Pyrolysis and upgrading",Upgraded Pyrolysis Oil,Grid mix electricity
62,FAME_b_TRE_2ndgen_gm_,Diesel,Biogenic 2nd Gen. feedstock,Transesterification,Diesel (FAME),Grid mix electricity
80,"DME-b-G-
DMES_2ndgen_gm_",DME,Biogenic 2nd Gen. feedstock,Gasification and DME Synthesis,Dimethyl Ether (DME),Grid mix electricity
102,EtOH_b_FR_2ndgen_gm_,Ethanol,Biogenic 2nd Gen. feedstock,Pretreatment/hydroly sis step and Fermentation,Ethanol,Grid mix electricity
109,H2_b_G_SS_CCS_2ndgen_ gm_,Hydrogen,Biogenic 2nd Gen. feedstock,Gasification of biomass and Syngas separation with Point Source Carbon Capture (PSCC) and long-term storage,Hydrogen,Grid mix electricity
59,UOF_b_EP _2ndgen_gm,Vegetable oil-based fuel,Biogenic 2nd Gen. feedstock,Extraction and purification,Used oils and fats,Grid mix electricity
78,HVO_b_HD_3rdgen_gm_,Diesel,Biogenic 3rd Gen. feedstock,Hydrogenation,Renewable Diesel (HVO),Grid mix electricity
63,FAME_b_TRE_3rdgen_gm_,Diesel,Biogenic 3rd Gen. feedstock,Transesterification,Diesel (FAME),Grid mix electricity
103,EtOH_b_FR_3rdgen_gm_,Ethanol,Biogenic 3rd Gen. feedstock,Fermentation,Ethanol,Grid mix electricity
60,AO_b_EP _3rdgen_gm,"Vegetable oil-based
fuel",Biogenic 3rd Gen. feedstock,Extraction and purification,Algae oil,Grid mix electricity
46,CNG_b_AD_gm,CNG,"Biogenic Mixed 1st, 2nd and 3rd Gen. feedstock","Bio-derived LNG via Anaerobic Digestion and separation and
compression",Compressed Natural Gas (Methane),Grid mix electricity
47,CNG_b_AD_CCS_gm,CNG,"Biogenic Mixed 1st, 2nd and 3rd Gen. feedstock","Bio-derived LNG via Anaerobic Digestion, separation with Point Source Carbon Capture (PSCC) and
long-term storage and compression",Compressed Natural Gas (Methane),Grid mix electricity
45,CNG_b_G_M_gm,CNG,"Biogenic Mixed 1st, 2nd and 3rd Gen. feedstock",Thermochemical gasification followed by methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
66,"FT-
Diesel_b_AD_FT_CCS_gm",Diesel,"Biogenic Mixed 1st, 2nd and 3rd Gen. feedstock","Anaerobic digestion and methane separation and Fischer-Tropsch Synthesis with Point Source Carbon
Capture (PSCC) and long-term storage",Renewable Diesel (Bio FT-Diesel),Grid mix electricity
65,FT-Diesel_b_AD_FT_gm,Diesel,"Biogenic Mixed 1st, 2nd and 3rd Gen. feedstock","Anaerobic digestion and methane separation and Fischer-Tropsch
Synthesis",Renewable Diesel (Bio FT-Diesel),Grid mix electricity
82,DME_b_AD_DMES_CCS_g m,DME,"Biogenic Mixed 1st, 2nd and 3rd Gen. feedstock","Anaerobic digestion and methane separation and DME Synthesis with Point Source Carbon Capture (PSCC) and
long-term storage",Dimethyl Ether (DME),Grid mix electricity
81,DME_b_AD_DMES_gm,DME,"Biogenic Mixed 1st, 2nd and 3rd Gen. feedstock","Anaerobic digestion and methane separation and DME
Synthesis",Dimethyl Ether (DME),Grid mix electricity
33,LNG_b_AD_gm,LNG,"Biogenic Mixed 1st, 2nd and 3rd Gen. feedstock","Bio-derived LNG via Anaerobic Digestion, separation and liquefaction",Liquefied Natural     Gas (Methane),Grid mix electricity
34,LNG_b_AD_CCS_gm,LNG,"Biogenic Mixed 1st, 2nd and 3rd Gen. feedstock","Bio-derived LNG via Anaerobic Digestion, separation with Point Source Carbon Capture (PSCC) and long-term storage
and liquefaction",Liquefied Natural     Gas (Methane),Grid mix electricity
32,LNG_b_G_M_gm,LNG,"Biogenic Mixed 1st, 2nd and 3rd Gen. feedstock","Thermochemical gasification followed
by methanation and liquefaction",Liquefied Natural     Gas (Methane),Grid mix electricity
91,MeOH_b_AD_MS_gm,Methanol,"Biogenic Mixed 1st, 2nd and 3rd Gen. feedstock","Reforming of Renewable Natural Gas (biomethane from Anaerobic
Digestion) and Methanol Synthesis",Methanol,Grid mix electricity
7,"MDO/MGO(ULSFO)_f_b_CP
_gm",Diesel/Gas oil (ULSFO),Biogenic mixed biomass,CoProcessing (CP) in refinery,"Bio co- processed marine fuel (ISO 8217
Grades DMX, DMA, DMZ
and DMB maximum
0.10 % S)",Grid mix electricity
8,"MDO/MGO(VLSFO)_f_b_CP
_gm",Diesel/Gas oil (VLSFO),Biogenic mixed biomass,CoProcessing (CP) in refinery,"Bio co- processed marine fuel (ISO 8217
Grades DMX, DMA, DMZ
and DMB,
0.10 < S ≤
0.50%)",Grid mix electricity
54,CNG_bCO2_fH2_M_gm,CNG,CO2: Biogenic Point Source Carbon Capture,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
56,CNG_bCO2_ibpH2_M_gm,CNG,CO2: Biogenic Point Source Carbon Capture,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
55,CNG_bCO2_rH2_M_gm,CNG,CO2: Biogenic Point Source Carbon Capture,Methanation and compression,Compressed Natural Gas (Methane),Grid mix electricity
73,"FT-
Diesel_bCO2_fH2_FT_gm",Diesel,CO2: Biogenic Point Source Carbon Capture,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
75,"FT-
Diesel_bCO2_ibpH2_FT_gm",Diesel,CO2: Biogenic Point Source Carbon Capture,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
74,"FT-
Diesel_bCO2_rH2_FT_gm",Diesel,CO2: Biogenic Point Source Carbon Capture,Fischer-Tropsch Synthesis,Renewable Diesel (FT- Diesel),Grid mix electricity
41,LNG_bCO2_fH2_M_gm,LNG,CO2: Biogenic Point Source Carbon Capture,Methanation and liquefaction,Liquefied Natural     Gas (Methane),Grid mix electricity
35,LNG_fCO2_fH2_M_gm,LNG,CO2: Biogenic Point Source Carbon Capture,Methanation and liquefaction,Liquefied Natural     Gas (Methane),Grid mix electricity
43,LNG_bCO2_ibpH2_M_gm,LNG,CO2: Biogenic Point Source Carbon Capture,Methanation and liquefaction,Liquefied Natural Gas (Methane),Grid mix electricity
